"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG  21-Sep-2022"
"SUNPHARMA","1,142.50","1,148.00","1,128.30","1,146.15","1,134.00","-12.15","-1.06","1,585,418","1,796,215,177.28","1,169.70","876.80","1.26","22.93"
"SBILIFE","1,326.05","1,337.60","1,316.00","1,334.20","1,320.00","-14.20","-1.06","1,084,861","1,440,706,256.61","1,393.00","1,054.00","1.94","3.60"
"ITC","447.50","448.40","442.25","447.50","442.50","-5.00","-1.12","7,506,309","3,335,278,277.97","499.70","323.25","-1.73","27.92"
"DIVISLAB","3,721.00","3,742.00","3,685.00","3,746.80","3,701.00","-45.80","-1.22","190,002","705,108,822.12","3,934.70","2,730.00","1.11","1.71"
"POWERGRID","200.55","202.90","196.40","201.60","199.00","-2.60","-1.29","21,193,988","4,207,854,377.52","205.95","139.77","-19.14","-1.68"
"ULTRACEMCO","8,275.00","8,310.65","8,179.05","8,313.55","8,197.00","-116.55","-1.40","524,827","4,308,252,360.30","8,750.95","6,005.00","-0.29","33.35"
"HDFCBANK","1,559.00","1,564.40","1,523.75","1,553.35","1,530.20","-23.15","-1.49","30,852,125","47,653,883,753.75","1,757.50","1,365.00","-3.14","5.77"
"BAJAJ-AUTO","5,051.00","5,084.15","4,996.20","5,085.20","5,005.00","-80.20","-1.58","498,375","2,508,949,327.50","5,274.90","3,461.25","8.01","35.20"
"CIPLA","1,207.40","1,209.10","1,168.55","1,206.40","1,186.40","-20.00","-1.66","2,796,199","3,307,987,302.97","1,277.90","852.00","-2.83","11.03"
"UPL","627.45","629.50","612.60","625.05","613.60","-11.45","-1.83","1,850,344","1,147,416,817.84","807.00","576.95","4.84","-12.53"
"DRREDDY","5,668.50","5,693.90","5,502.00","5,668.50","5,537.00","-131.50","-2.32","489,557","2,717,991,090.58","5,989.70","4,089.30","-6.60","33.29"
"WIPRO","424.40","426.75","416.60","428.95","418.50","-10.45","-2.44","9,909,130","4,165,302,795.50","443.75","352.00","1.41","6.12"
